STATION,NAME,DATE,TAVG,TMAX,TMIN
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/6/22,46,65,36
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/7/22,57,64,50
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/8/22,45,50,36
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/9/22,36,40,32
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/10/22,38,51,29
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/11/22,41,51,31
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/12/22,41,46,24
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/13/22,28,36,22
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/14/22,38,52,29
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/15/22,47,59,42
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/16/22,43,49,39
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/17/22,43,48,38
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/18/22,53,68,47
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/19/22,49,55,43
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/20/22,52,62,42
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/21/22,50,59,43
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/22/22,45,52,36
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/23/22,39,43,33
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/24/22,41,43,39
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/25/22,46,60,39
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/26/22,50,55,43
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/27/22,44,50,31
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/28/22,31,33,20
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/29/22,27,38,19
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/30/22,37,50,29
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/31/22,51,65,40
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",4/1/22,57,60,40
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",4/2/22,45,54,39
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",4/3/22,44,48,35
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",4/4/22,45,58,38
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",4/5/22,50,59,43
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",4/6/22,45,47,41
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",4/7/22,44,49,39
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",4/8/22,53,63,44
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",4/9/22,51,60,43
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",4/10/22,48,56,41
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",4/11/22,50,64,40
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",4/12/22,56,70,49
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",4/13/22,60,73,47
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",4/14/22,50,50,46
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",4/15/22,55,67,46
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",4/16/22,60,72,43
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",4/17/22,46,50,41
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",4/18/22,45,50,39
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",4/19/22,49,59,43
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",4/20/22,47,57,41
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",4/21/22,51,62,41
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",4/22/22,56,65,49
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",4/23/22,52,58,45
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",4/24/22,47,54,43
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",4/25/22,49,53,46
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",4/26/22,49,55,46
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",4/27/22,53,59,42
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",4/28/22,46,53,39
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",4/29/22,47,57,40
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",4/30/22,47,54,41
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/1/22,52,61,45
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/2/22,51,56,45
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/3/22,48,53,46
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/4/22,49,54,47
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/5/22,57,70,50
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/6/22,57,61,50
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/7/22,51,53,46
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/8/22,48,54,42
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/9/22,48,56,41
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/10/22,52,58,45
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/11/22,51,60,46
